<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
9040.HK,D,20240315,000000,3.044,3.044,3.044,3.044,0,0
9040.HK,D,20240318,000000,3.06,3.06,3.06,3.06,0,0
9040.HK,D,20240319,000000,3.036,3.036,3.036,3.036,0,0
9040.HK,D,20240320,000000,3.036,3.036,3.036,3.036,0,0
9040.HK,D,20240321,000000,3.074,3.074,3.074,3.074,0,0
9040.HK,D,20240322,000000,3.008,3.008,3.008,3.008,0,0
9040.HK,D,20240325,000000,3,3,3,3,0,0
9040.HK,D,20240326,000000,3.012,3.012,3.012,3.012,0,0
9040.HK,D,20240327,000000,2.986,2.986,2.986,2.986,0,0
9040.HK,D,20240328,000000,3.008,3.008,3.008,3.008,0,0
9040.HK,D,20240402,000000,3.074,3.074,3.068,3.068,31100,0
9040.HK,D,20240403,000000,3.04,3.04,3.04,3.04,21400,0
9040.HK,D,20240405,000000,3.034,3.034,3.034,3.034,0,0
9040.HK,D,20240408,000000,3.034,3.034,3.034,3.034,0,0
9040.HK,D,20240409,000000,3.038,3.038,3.038,3.038,0,0
9040.HK,D,20240410,000000,3.09,3.09,3.09,3.09,0,0
9040.HK,D,20240411,000000,3.09,3.09,3.09,3.09,0,0
9040.HK,D,20240412,000000,3.046,3.046,3.046,3.046,0,0
9040.HK,D,20240415,000000,3.03,3.03,3.03,3.03,0,0
9040.HK,D,20240416,000000,2.968,2.968,2.968,2.968,0,0
9040.HK,D,20240417,000000,2.97,2.97,2.97,2.97,0,0
9040.HK,D,20240418,000000,2.996,2.996,2.996,2.996,0,0
9040.HK,D,20240419,000000,2.974,2.974,2.974,2.974,0,0
9040.HK,D,20240422,000000,3.002,3.002,3.002,3.002,0,0
9040.HK,D,20240423,000000,3.062,3.062,3.062,3.062,0,0
9040.HK,D,20240424,000000,3.128,3.128,3.128,3.128,0,0
9040.HK,D,20240425,000000,3.13,3.13,3.13,3.13,0,0
9040.HK,D,20240426,000000,3.214,3.214,3.214,3.214,0,0
9040.HK,D,20240429,000000,3.22,3.22,3.22,3.22,0,0
9040.HK,D,20240430,000000,3.22,3.22,3.22,3.22,0,0
9040.HK,D,20240502,000000,3.234,3.284,3.234,3.284,20000,0
9040.HK,D,20240503,000000,3.374,3.374,3.354,3.354,19400,0
9040.HK,D,20240506,000000,3.364,3.364,3.364,3.364,0,0
9040.HK,D,20240507,000000,3.352,3.352,3.352,3.352,0,0
9040.HK,D,20240508,000000,3.316,3.316,3.316,3.316,0,0
9040.HK,D,20240509,000000,3.362,3.362,3.362,3.362,0,0
9040.HK,D,20240510,000000,3.408,3.408,3.408,3.408,0,0
9040.HK,D,20240513,000000,3.442,3.442,3.442,3.442,0,0
9040.HK,D,20240514,000000,3.448,3.448,3.448,3.448,0,0
9040.HK,D,20240516,000000,3.482,3.498,3.482,3.498,19500,0
9040.HK,D,20240517,000000,3.548,3.548,3.548,3.548,0,0
9040.HK,D,20240520,000000,3.556,3.556,3.556,3.556,0,0
9040.HK,D,20240521,000000,3.498,3.498,3.498,3.498,0,0
9040.HK,D,20240522,000000,3.496,3.496,3.496,3.496,0,0
9040.HK,D,20240523,000000,3.43,3.43,3.43,3.43,0,0
9040.HK,D,20240524,000000,3.43,3.43,3.384,3.384,10000,0
9040.HK,D,20240527,000000,3.416,3.416,3.416,3.416,0,0
9040.HK,D,20240528,000000,3.426,3.426,3.426,3.426,11700,0
9040.HK,D,20240529,000000,3.364,3.364,3.364,3.364,0,0
9040.HK,D,20240530,000000,3.344,3.344,3.328,3.328,3000,0
9040.HK,D,20240531,000000,3.294,3.294,3.294,3.294,0,0
9040.HK,D,20240603,000000,3.336,3.336,3.336,3.336,0,0
9040.HK,D,20240604,000000,3.356,3.356,3.356,3.356,8100,0
9040.HK,D,20240605,000000,3.356,3.356,3.356,3.356,0,0
9040.HK,D,20240606,000000,3.356,3.356,3.356,3.356,0,0
9040.HK,D,20240607,000000,3.344,3.344,3.34,3.34,8100,0
9040.HK,D,20240611,000000,3.322,3.322,3.322,3.322,0,0
