<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
83001.HK,D,20230705,000000,107.75,107.75,107.75,107.75,300,0
83001.HK,D,20230706,000000,107.4,107.4,107.4,107.4,0,0
83001.HK,D,20230707,000000,106.5,106.5,106.5,106.5,0,0
83001.HK,D,20230710,000000,105.25,105.25,105.25,105.25,0,0
83001.HK,D,20230711,000000,105.25,105.25,105.25,105.25,0,0
83001.HK,D,20230712,000000,105.25,105.25,105.25,105.25,0,0
83001.HK,D,20230713,000000,105.25,105.25,105.25,105.25,0,0
83001.HK,D,20230714,000000,106,106,106,106,0,0
83001.HK,D,20230718,000000,104.2,104.2,104.2,104.2,0,0
83001.HK,D,20230719,000000,102.25,102.25,102.25,102.25,0,0
83001.HK,D,20230720,000000,102.15,102.15,102.15,102.15,0,0
83001.HK,D,20230721,000000,100.2,100.2,100.2,100.2,0,0
83001.HK,D,20230724,000000,96.85,96.85,96.85,96.85,0,0
83001.HK,D,20230725,000000,98.05,98.1,98.05,98.1,115,0
83001.HK,D,20230726,000000,98.05,98.05,98.05,98.05,0,0
83001.HK,D,20230727,000000,98.9,98.9,98.9,98.9,0,0
83001.HK,D,20230728,000000,100.3,101.35,100.3,101.35,500,0
83001.HK,D,20230731,000000,101.35,101.35,101.35,101.35,30,0
83001.HK,D,20230801,000000,100.95,100.95,100.95,100.95,0,0
83001.HK,D,20230802,000000,98.25,98.5,98.25,98.25,25,0
83001.HK,D,20230803,000000,95.35,95.35,95.35,95.35,200,0
83001.HK,D,20230804,000000,95.35,95.35,95.35,95.35,0,0
83001.HK,D,20230807,000000,96,96,96,96,2000,0
83001.HK,D,20230808,000000,90.6,93.05,90.6,90.6,2010,0
